DUID,STATIONID,REGIONID,PARTICIPANTID,DUIDNAME,STATIONNAME,PARTICIPANTNAME,CONNECTIONPOINTID,DISPATCHTYPE,STARTTYPE,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,MAXCAPACITY,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,TRANSMISSIONLOSSFACTOR,STARTDATE,ENDDATE,COMMENCEDDATE,FIRSTDISPATCHDATE,TYPE,DESCRIPTION,MMS_ACTIVE,MMS_STARTDATE,MMS_ENDDATE,INTERMITTENTFLAG,FUELTYPE,COOLINGTYPE,COOLINGTYPE_COMMENT,CLASSIFICATIONID,TECHNOLOGYTYPE,THERMAL_EFFICIENCY_FACTOR,EMISSION_INTENSITY_FACTOR,GAS_PIPELINE_ID,OWNERSHIP_TYPE,OWNERSHIP_DESC,OWNERSHIP_LASTCHANGED,SCHEDULE_TYPE,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,MINIMUMLOAD_LEVEL,RETIRED_MOTHBALLED,SUBREGION,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
DRVIOT01,DRVIOT01,SA1,VIOTAS,DR VIOTAS S SL1,DR VIOTAS S SL1,VIOTAS Australia Pty Ltd,SASVTA01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,23/11/2021 00:00,,,"<p>https://protect-au.mimecast.com/s/qNcPClx15MSVJ6LrC4mADd?domain=viotas.com</p>
<p>only registered for FCAS&nbsp;</p>",Y,23/11/2021 00:00,,N,DRA,,,NMNS,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRVIOT05,DRVIOT05,TAS1,VIOTAS,DR VIOTAS T SL1,DR VIOTAS T SL1,VIOTAS Australia Pty Ltd,TASVTA01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,14/6/2023 00:00,,,,Y,14/6/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,1,1,
DRVIOT02,DRVIOT02,VIC1,VIOTAS,DR VIOTAS V SL1,DR VIOTAS V SL1,VIOTAS Australia Pty Ltd,VASVTA01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,31/5/2022 00:00,,,,Y,31/5/2022 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRXNDA01,DRXNDA01,NSW1,ENOCMASP,DR ENELX N1,DRA ENEL NSW,Enel X Australia,NWDENC01,LOAD,FAST,33,10,N,10,Y,,,1.0047,1/7/2023 00:00,31/12/2999 00:00,1/10/2021 00:00,12/11/2021 12:30,,,Y,1/10/2021 00:00,,N,DRA,Nil,,,,,,,Private,,,SCHEDULED,,,,,,2,2,2,2,0
DRXVDJ01,DRXVDJ01,VIC1,ENOCMASP,DR ENELX V1,DRA ENEL Vic,Enel X Australia,VWDENC01,LOAD,FAST,66,6,N,6,Y,,,1.0005,1/7/2023 00:00,31/12/2999 00:00,1/10/2021 00:00,12/11/2021 12:30,,,Y,1/10/2021 00:00,,N,DRA,Nil,,,,,,,Private,,,SCHEDULED,,,,,,1,1,1,1,0
DREXMN01,DREXMN01,NSW1,ENERGYXM,DR ENERGYX VL N1,DREXMN01,EnergyX Markets Pty Ltd,NASENE01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,19/9/2023 00:00,31/12/2999 00:00,19/9/2023 00:00,,,,Y,19/9/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRGBND02,DRGBND02,SA1,GRIDBYND,DR GBND S1,DRGBND02,GridBeyond Pty Limited,SASGRD01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,14/11/2023 00:00,31/12/2999 00:00,14/11/2023 00:00,,,,Y,14/11/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRSHVN01,DRSHVN01,NSW1,SHUBMASP,DRSHVN01,DRSHVN01,Shine Hub Pty. Ltd.,NASSHU01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,9/5/2023 00:00,,,,Y,9/5/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRSHVS01,DRSHVS01,SA1,SHUBMASP,DRSHVS01,DRSHVS01,Shine Hub Pty. Ltd.,SASSHU01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,1/5/2023 00:00,,,,Y,1/5/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DAANDINE,DAANDINE,QLD1,ARROW,DAANDINE,Daandine,Essential Energy,QTKM1,GENERATOR,NOT DISPATCHED,33,33,N,30,,,,0.9774,1/7/2021 00:00,18/4/2022 00:00,28/2/2007 00:00,,,,Y,28/2/2007 00:00,,N,Gas,,,MNS,,,0.51,,Government,Essential Energy (NSW Government),24/8/2012 00:00,NON-SCHEDULED,,,,,,0,0,0,0,
DALNTHL1,DALNTH,SA1,DALRYMPN,DALRYMPLE NORTH LOAD,Dalrymple North BESS,AGL Energy,SDAN2D,LOAD,FAST,33,30,Y,30,N,,,0.879,1/7/2023 00:00,31/12/2999 00:00,5/6/2018 00:00,21/6/2018 09:30,Renewable,"<p>development of a first-of-its-kind commercial model to support the provision of regulated reliability and security services by a Network Service Provider (ElectraNet) alongside competitive market services (AGL), challenging perceived limitations to network ownership of battery energy storage technologies</p>",Y,5/6/2018 00:00,,N,Battery,,,MS,Battery,,,,Private,AGL Energy,,SCHEDULED,,,,,Adelaide,36,36,360,360,1
DALNTH01,DALNTH,SA1,DALRYMPN,DALRYMPLE NORTH GEN,Dalrymple North BESS,AGL Energy,SDAN1D,GENERATOR,FAST,33,30,Y,30,,,,0.8954,1/7/2023 00:00,31/12/2999 00:00,5/6/2018 00:00,5/7/2018 17:00,Renewable,<p>&nbsp;operated by AGL Energy</p>,Y,5/6/2018 00:00,,N,Battery,Nil,,MS,Battery,,,,,"owned by ElectraNet, intermediary of Greentricity which is a subsidiary of AGL Energy",,SCHEDULED,,,,,Adelaide,12,12,360,360,1
DDPS1,DDPS1,QLD1,BORAL,DARLING DOWNS PS 0-3,Darling Downs,Origin Energy,QBRA8D,GENERATOR,SLOW,275,644,Y,663,,,,0.9617,1/7/2023 00:00,31/12/2999 00:00,16/11/2009 00:00,5/12/2009 13:00,Intermed,,Y,16/11/2009 00:00,,N,Gas,Air,,MS,CCGT,7.36,0.39,,Private,Origin Energy,25/8/2010 00:00,SCHEDULED,,,58.3,,South Western,10,10,10,10,1
DDSF1,DDSF,QLD1,DDSF,DARLING DOWNS SF,"Darling Downs Solar Farm, Units 1-44 ",Darling Downs Solar Farm,QBRS1D,GENERATOR,SLOW,275,121,N,108,,,,0.9762,1/7/2023 00:00,31/12/2999 00:00,27/6/2018 00:00,28/7/2018 11:30,Renewable,,Y,27/6/2018 00:00,,Y,Solar,Nil,,Msemi,PV,,,,,Darling Downs Solar Farm Pty Ltd (owned by APA Group); PPA with Origin Energy till 2030,,SEMI-SCHEDULED,,,,,South Eastern,3,3,21,21,0
DPNTBL1,DPNTBESS,NSW1,DPNTBESS,DPNTBL1,Darlington Point Energy Storage System,EnergyAustralia Pty Ltd,NRDP2D,LOAD,FAST,33,25,Y,25,N,,,0.9024,21/11/2023 00:00,31/12/2999 00:00,30/5/2023 00:00,29/6/2023 11:00,,,Y,30/5/2023 00:00,,N,,,,,,,,,,,,SCHEDULED,,,,,,5,5,5,5,1
DPNTBG1,DPNTBESS,NSW1,DPNTBESS,DARLINGTON PNT ESS1,Darlington Point Energy Storage System,EnergyAustralia Pty Ltd,NRDP1D,GENERATOR,FAST,33,25,Y,25,,,,0.9089,21/11/2023 00:00,31/12/2999 00:00,30/5/2023 00:00,29/6/2023 10:30,,,Y,30/5/2023 00:00,,N,Battery,,,,,,,,,,,SCHEDULED,,,,,South Western,5,5,5,5,1
DARLSF1,DARLSF,NSW1,DARLSF,DARLINGTON POINT SF,Darlington Point Solar Farm,Canadian Solar,NDNS1D,GENERATOR,SLOW,132,324,N,275,,,,0.8958,1/7/2023 00:00,31/12/2999 00:00,11/8/2020 00:00,19/9/2020 10:00,Renewable,"<p>&nbsp;The farm has a power purchase agreement with Delta Electricity to supply 150 MW of renewable energy.&nbsp;</p>
<p>The project is jointly owned by Octopus Investments and Edify Energy.</p>
<p>EPC, a joint venture between Signal Energy and Canadian Solar, was appointed for onsite construction. Canadian Solar oversees operations and maintenance</p>
<p><span style=""font-size: 12px;"">JS: Updated to reflect AEMO's NEM Registration and Exemption List 220311</span></p>
<p>&nbsp;</p>",Y,11/8/2020 00:00,,Y,Solar,Nil,,Msemi,PV,,,,Private/Government PPA,Edify Energy,,SEMI-SCHEDULED,,,,,South Western,3,3,55,55,0
DARTM1,DARTM,VIC1,SOUTHHYD,DARTM1 DARTMOUTH POW,Dartmouth,AGL Energy,VDPS,GENERATOR,FAST,220,185,Y,185,,,,0.9622,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 09:00,Peak,,Y,25/10/1998 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Private,AGL Hydro Partnership,24/8/2012 00:00,SCHEDULED,,,22.5,,Northern,3,3,60,60,0
DAYDSF1,DAYDSF,QLD1,DAYDSF,DAYDREAM SOLAR FARM,Daydream Solar Farm,Edify Energy,QCCK1D,GENERATOR,SLOW,33,167,N,150,,,,0.9098,1/7/2023 00:00,31/12/2999 00:00,28/9/2018 00:00,24/10/2018 17:30,Renewable,"<p>&nbsp;Daydream Solar Farm is located on a 1,070-acre site north of Collinsville in northern Queensland. Owned by Blackrock and Edify, the project was developed and is managed by Edify. Origin Energy buys 100% of Daydream&rsquo;s solar output.&nbsp;</p>
<p><span style=""font-size: 12px;"">JS: Updated to reflect AEMO's NEM Registration and Exemption List 220311</span></p>",Y,28/9/2018 00:00,,Y,Solar,Nil,,Msemi,PV,,,,Private/Government PPA,Edify Energy,,SEMI-SCHEDULED,,,,,Northern,3,3,165,165,0
DEVILS_G,DEVILS_G,TAS1,HYDROTAS,DEVILS_G DEVILS GATE,Devils Gate,Hydro Tasmania,TDG11,GENERATOR,SLOW,110,60,Y,67,,,,0.9537,1/7/2023 00:00,31/12/2999 00:00,16/5/2005 00:00,16/5/2005 14:00,Intermed,,Y,16/5/2005 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Government,Hydro-Electric corporation (Hydro Tasmania) (owned by Tasmanian Govt),25/9/2009 00:00,SCHEDULED,,,,,Northern,2,2,40,40,0
DIAPURWF1,DIAPURWF,VIC1,DIAPURWF,DIAPUR WIND FARM,Diapur Wind Farm,Diapur Wind Farm Pty Ltd,VHOG2D,GENERATOR,NOT DISPATCHED,22,8,N,7,,,,0.8827,1/7/2023 00:00,31/12/2999 00:00,28/9/2021 00:00,,Renewable,,Y,28/9/2021 00:00,,Y,Wind,,,MNS,Wind,,,,,,,NON-SCHEDULED,,,,,,0,0,5,5,
ASSDE1,ASSDE,SA1,DISCOVER,DISCO-NRG S SL1,DiscoverEnergy VPPSA,Discover Energy Pty Ltd,SASDSC01,LOAD,NOT DISPATCHED,1,1,N,1,Y,,,1,1/7/2023 00:00,31/12/2999 00:00,11/1/2022 00:00,,,,Y,11/1/2022 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
DRYCGT3,DRYCGT,SA1,PEAKCO,DRYCGT3 DRY CREEK GA,Dry Creek,Engie,SDCA3,GENERATOR,FAST,66,52,N,57,,,,0.9992,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,22/12/1998 09:00,Peak,,Y,25/10/1998 00:00,,N,Gas,Air,,MS,OCGT,13.43,0.94,,Private,International Power - GDF Suez,25/9/2009 00:00,SCHEDULED,,,0,,Adelaide,1,1,12,12,0
DRYCNL,DRYCGT,SA1,PEAKCO,DRYCNL DRY CREEK GAS,Dry Creek,Engie,SKLB,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,1.0022,1/7/2023 00:00,31/12/2999 00:00,5/4/2000 00:00,,,,N,5/4/2000 00:00,6/6/2006 00:00,N,,Air,,,,,,,,,,NON-SCHEDULED,,,,,Adelaide,0,0,,,
DRYCGT1,DRYCGT,SA1,PEAKCO,DRYCGT1 DRY CREEK GA,Dry Creek,Engie,SDCA1,GENERATOR,FAST,66,52,N,57,,,,0.9992,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,14/12/1998 21:00,Peak,,Y,25/10/1998 00:00,,N,Gas,Air,,MS,OCGT,13.43,0.94,,Private,International Power - GDF Suez,25/9/2009 00:00,SCHEDULED,,,0,,Adelaide,1,1,12,12,0
DRYCGT2,DRYCGT,SA1,PEAKCO,DRYCGT2 DRY CREEK GA,Dry Creek,Engie,SDCA2,GENERATOR,FAST,66,52,N,57,,,,0.9992,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,8/1/1999 11:00,Peak,,Y,25/10/1998 00:00,,N,Gas,Air,,MS,OCGT,13.43,0.94,,Private,International Power - GDF Suez,25/9/2009 00:00,SCHEDULED,,,0,,Adelaide,1,1,12,12,0
DRYCNL3,DRYCGT,SA1,PEAKCO,DRYCNL3 DRY CREEK GA,Dry Creek,Engie,SDUMMY,GENERATOR,NOT DISPATCHED,275,160,N,160,,,N,0.9993,14/7/2000 00:00,7/9/2000 00:00,14/7/2000 00:00,,,,N,14/7/2000 00:00,6/6/2006 00:00,N,,,,,,,,,,,,NON-SCHEDULED,,,,,Adelaide,0,0,,,
DULAWF1,DULAWF1,QLD1,DULACCA,DULAWF1,Dulacca Wind Farm,Octopus Investments,QCBF1D,GENERATOR,SLOW,132,180,Y,173,,,,0.9776,1/7/2023 00:00,31/12/2999 00:00,4/4/2023 00:00,13/4/2023 16:30,Renewable,"<p>Expected commencement date in August 2023.&nbsp;<br />
<br />
Owned by Octopus Investments according to this article.<br />
https://protect-au.mimecast.com/s/HCcsCmO5QMCgwkvxcld54m?domain=octopusinvestments.com.au</p>
",Y,4/4/2023 00:00,,Y,Wind,Air,,Msemi,Wind,,,,Private,Octopus,1/8/2021 00:00,SEMI-SCHEDULED,,,,,South Eastern,3,3,35,35,0
DUNDWF3,DUNDWF,VIC1,DUNDWF,DUNDONNELL WF 3,Dundonnell Wind Farm,Dundonnell Wind Farm,VM053D,GENERATOR,SLOW,500,121,N,122,,,,0.987,1/7/2023 00:00,31/12/2999 00:00,10/3/2020 00:00,11/3/2020 13:00,Renewable,"<p>Generator owned by Tilt Renewables&nbsp;<a href=""https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com"">https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com/</a>&nbsp;</p>",Y,10/3/2020 00:00,,Y,Wind,,,Msemi,Wind,,,,Private,Til Renewables,,SEMI-SCHEDULED,,,,,Western,3,3,25,25,0
DUNDWF1,DUNDWF,VIC1,DUNDWF,DUNDONNELL WF 1,Dundonnell Wind Farm,Dundonnell Wind Farm,VM051D,GENERATOR,SLOW,500,168,N,168,,,,0.987,1/7/2023 00:00,31/12/2999 00:00,10/3/2020 00:00,8/5/2020 14:30,Renewable,"<p>&nbsp;Generator owned by Tilt Renewables&nbsp;<a href=""https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com/"">https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com/</a></p>",Y,10/3/2020 00:00,,Y,Wind,Air,,Msemi,Wind,,,,Private,Til Renewables,,SEMI-SCHEDULED,,,,,Western,3,3,34,34,0
DUNDWF2,DUNDWF,VIC1,DUNDWF,DUNDONNELL WF 2,Dundonnell Wind Farm,Dundonnell Wind Farm,VM052D,GENERATOR,SLOW,500,46,N,46,,,,0.987,1/7/2023 00:00,31/12/2999 00:00,10/3/2020 00:00,1/5/2020 13:00,Renewable,"<p>Generator owned by Tilt Renewables&nbsp;<a href=""https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com/"">https://protect-au.mimecast.com/s/uDiOCnx1rNSP0rnEUr6UVP?domain=tiltrenewables.com/</a>&nbsp;</p>",Y,10/3/2020 00:00,,Y,Wind,,,Msemi,Wind,,,,Private,,,SEMI-SCHEDULED,,,,,Western,1,1,10,10,0
ASQENC1,ENOCQLD,QLD1,ENOCMASP,AGG INTERRUP LOAD Q1,ENOC MASP QLD,Enel X Australia,QRTENOC1,LOAD,NOT DISPATCHED,11,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,15/1/2018 00:00,,,<p>Demand Response Aggregator. Did have EnerNOC as the participant which was incorrect.</p>,Y,15/1/2018 00:00,,N,DRA,,,MNS,,,,,Private,Enel X Australia Pty Ltd,,NON-SCHEDULED,,,,,Central,0,0,0,0,
ASSENC1,ENOCSA,SA1,ENOCMASP,AGG INTERRUP LOAD S1,ENOC MASP SA,Enel X Australia,SRTENOC1,LOAD,NOT DISPATCHED,11,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,16/10/2018 00:00,,,,Y,16/10/2018 00:00,,N,DRA,,,MNS,,,,,Private,Enel X Australia Pty Ltd,,NON-SCHEDULED,,,,,,0,0,0,0,
ASNENC1,ENOCNSW,NSW1,ENOCMASP,AGG INTERRUP LOAD N1,ENOC MSAP NSW,Enel X Australia,NRTENOC1,LOAD,NOT DISPATCHED,11,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,23/10/2017 00:00,,,<p>Demand Response Aggregator. Did have EnerNOC as the participant which was incorrect.</p>,Y,23/10/2017 00:00,,N,DRA,,,MNS,,,,,Private,Enel X Australia Pty Ltd,,NON-SCHEDULED,,,,,Western,0,0,0,0,
VENUS1,ENOCSTA,VIC1,ENOCMASP,AGG INTERRUP LOAD V1,ENOC MSAP VIC,Enel X Australia,VRTENOC1,LOAD,NOT DISPATCHED,11,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,21/9/2017 00:00,,,<p>Demand Response Aggregator. Did have EnerNOC as the participant which was incorrect.</p>,Y,21/9/2017 00:00,,N,DRA,,,MNS,,,,,Private,Enel X Australia Pty Ltd,,NON-SCHEDULED,,,,,Melbourne,0,0,0,0,
ERG_AS,ERG_AS,QLD1,ERGON,ERG_AS ERGON FREQUEN,ERGON FREQUENCY CONTROL A.S.,AGL Sales (Queensland Electricity) Pty Limited,QGLA,LOAD,NOT DISPATCHED,132,30,N,30,Y,,N,0.9627,1/7/2009 00:00,4/9/2009 00:00,14/10/1999 00:00,,,,Y,14/10/1999 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
EASTCRK,EASTCRK,NSW1,EDLLFGN,EASTERN CRK LFG U1-4,Eastern Creek,AGL Energy,NSW21,GENERATOR,NOT DISPATCHED,11,5,N,5,,,,1.001,1/7/2023 00:00,31/12/2999 00:00,30/5/2002 00:00,,,,Y,30/5/2002 00:00,,N,Biomass,,,MNS,Recip,,0.06,,Private,AGL Energy,25/9/2009 00:00,NON-SCHEDULED,,,,,,0,0,0,0,
EASTCRK2,EASTCRK2,NSW1,LMSENE,EASTERN CK 2 GAS FAC,Eastern Creek 2,LMS Generation,NSW23L,GENERATOR,NOT DISPATCHED,33,6,N,6,,,,1.001,1/7/2023 00:00,31/12/2999 00:00,7/1/2010 00:00,,,,Y,7/1/2010 00:00,,N,Biomass,,,NMNS,,,0.05,,Private,Sims Metal Management,24/8/2012 00:00,NON-SCHEDULED,,,,,,0,0,0,0,
EDENVSF1,EDENVSF,QLD1,EDENVALE,Edenvale Solar Park,Edenvale Solar Park,Sapphire Energy,QORS1E,GENERATOR,SLOW,275,180,Y,146,,,,0.972,1/7/2023 00:00,31/12/2999 00:00,20/12/2022 00:00,24/2/2023 18:00,,"<p>Of the renewable energy to be produced at the solar farm, 70% will be sold to local electricity retailer to provide a stable supply of renewable energy, while part of the remaining 30% will be supplied to Gregory Crinum Coal Mine, which Sojitz owns and operates in the same state of Queensland.</p>

<p>The applicant will be the operator and the owner throughout the 30-year operational lifetime of the generating plant. The applicant is a subsidiary of Sapphire Energy Pty Ltd which is a joint venture company incorporated in Australia and owned 50% by Sojitz Corporation (Japan) and 50% ENEOS Australia Pty Ltd.</p>

<p>https://protect-au.mimecast.com/s/Hw86CoV1Q6CgN6knc0inSJ?domain=epw.qld.gov.au</p>
",Y,20/12/2022 00:00,,Y,Solar,,,,PV,,,,,Sojitz Corporation - 50% ENEOS Australia Pty Ltd. - 50%,,SEMI-SCHEDULED,,,,,South Western,3,3,30,30,0
EILDON1,EILDON,VIC1,SOUTHHYD,EILDON1 EILDON POWER,Eildon,AGL Energy,VEPS1,GENERATOR,FAST,220,60,Y,60,,,,0.992,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 06:30,Peak,,Y,25/10/1998 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Private,AGL Hydro Partnership,24/8/2012 00:00,SCHEDULED,,,,,Northern,2,2,20,20,1
EILDON2,EILDON,VIC1,SOUTHHYD,EILDON2 EILDON POWER,Eildon,AGL Energy,VEPS2,GENERATOR,FAST,220,60,Y,60,,,,0.992,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 06:30,Peak,,Y,25/10/1998 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Private,AGL Hydro Partnership,24/8/2012 00:00,SCHEDULED,,,,,Northern,2,2,20,20,1
EILDON3,EILDONPD,VIC1,PACHYDIN,EILDON HYDRO,Eildon Pondage Power Station,Pacific Hydro,VTT22E,GENERATOR,NOT DISPATCHED,22,5,N,5,,,,0.9975,1/7/2023 00:00,31/12/2999 00:00,1/1/2014 00:00,,Renewable,,Y,1/1/2014 00:00,,Y,Hydro,,,MNS,Hydro,,0,,,Pacific Hydro Investments Pty Ltd,,NON-SCHEDULED,,,,,Melbourne,0,0,0,0,
ELAINWF1,ELAINEWF,VIC1,LALLALWF,ELAINE WIND FARM 1,Elaine Wind Farm,Lal Lal Wind Farms,VELT3E,GENERATOR,SLOW,220,83,N,82,,,,0.9576,1/7/2023 00:00,31/12/2999 00:00,7/4/2020 00:00,7/4/2020 17:00,Renewable,"<p><span style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 8pt; color: rgb(20, 35, 83); letter-spacing: 0.25pt;"">Lal Lal Wind Farms is owned by global infrastructure investors in&nbsp;</span><span style=""font-size: 8pt; color: rgb(20, 35, 83);""><a href=""https://protect-au.mimecast.com/s/daYACp81QXtVrp52C66Hca?domain=northleafcapital.com"" style=""box-sizing: border-box; text-decoration-line: none; box-shadow: none; transition: all 0.2s ease-out 0s;""><span style=""color: rgb(20, 35, 83); letter-spacing: 0.25pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Northleaf Capital Partners</span></a></span><span style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 8pt; color: rgb(20, 35, 83); letter-spacing: 0.25pt;"">&nbsp;and&nbsp;</span><span style=""font-size: 8pt; color: rgb(20, 35, 83);""><a href=""https://protect-au.mimecast.com/s/l2x2Cq71YMcEAJ9Qc99S18?domain=ircp.com"" style=""box-sizing: border-box; text-decoration-line: none; box-shadow: none; transition: all 0.2s ease-out 0s;""><span style=""color: rgb(20, 35, 83); letter-spacing: 0.25pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">InfraRed Capital Partners</span></a></span><span style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 8pt; color: rgb(20, 35, 83); letter-spacing: 0.25pt;"">, each holding a 40 per cent interest, with&nbsp;</span><span style=""font-size: 8pt; color: rgb(20, 35, 83);""><a href=""https://protect-au.mimecast.com/s/L1XfCr81RMtkK4xqcO9VKE?domain=macquarie.com"" style=""box-sizing: border-box; text-decoration-line: none; box-shadow: none; transition: all 0.2s ease-out 0s;""><span style=""color: rgb(20, 35, 83); letter-spacing: 0.25pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Macquarie Capital</span></a></span><span style=""background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; font-size: 8pt; color: rgb(20, 35, 83); letter-spacing: 0.25pt;"">&nbsp;having the remaining 20 per cent interest.</span><span style=""color: rgb(107, 107, 107); font-family: &quot;Work Sans&quot;, sans-serif; font-size: 18px; letter-spacing: 0.32px;"">&nbsp;</span><a href=""https://protect-au.mimecast.com/s/ZZ9JCvl1o9HYmrv9FBACRO?domain=lallalwindfarms.com.au"">https://protect-au.mimecast.com/s/ZZ9JCvl1o9HYmrv9FBACRO?domain=lallalwindfarms.com.au/</a></p>",Y,7/4/2020 00:00,,Y,Wind,Nil,,Msemi,Wind,,,,Private,Lal Lal Wind Farms,,SEMI-SCHEDULED,,,,,Western,2,2,16,16,0
EMERASF1,EMERASF,QLD1,TELSTRAE,EMERALD SOLAR PARK 1,Emerald Solar Park,Telstra Energy,QLIS1E,GENERATOR,SLOW,66,88,N,72,,,,0.9111,1/7/2023 00:00,31/12/2999 00:00,13/9/2018 00:00,20/9/2018 13:30,Renewable,"<p>JS: Telstra have bought all the output through a PPA. Lighthouse owns the project after purchasing it from RES Australia who are managing the development and asset management.</p>
<p>&nbsp;</p>
<p>https://protect-au.mimecast.com/s/U9GDCwV1mRCqMgojckILX2?domain=reneweconomy.com.au</p>",Y,13/9/2018 00:00,,Y,Solar,Nil,,Msemi,PV,,,,,Lighthouse Infrastructure,,SEMI-SCHEDULED,,,,,Central,2,2,165,165,0
ASSEL1,ASSEL,SA1,SAVPP1,Energy Locals SA VPP,Energy Locals SA VPP,Energy Locals,SRTSAVP1,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,4/6/2019 00:00,,,,Y,4/6/2019 00:00,,N,Battery,Nil,,,Battery,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
ER04,ERARING,NSW1,OERARING,ER04 ERARING POWER S,Eraring,Origin Energy,NEPS4,GENERATOR,SLOW,500,720,Y,750,,,,0.9856,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,<p>&nbsp;Origin purchased from NSW government 1 July 2013</p>,Y,25/10/1998 00:00,,N,Coal-Black,Sea,,MS,Boiler,9.51,0.93,,Private,Origin Energy Eraring Pty Ltd,1/7/2013 00:00,SCHEDULED,,,210,,Coast,3,3,20,20,0
ER01,ERARING,NSW1,OERARING,ER01 ERARING POWER S,Eraring,Origin Energy,NEPS1,GENERATOR,SLOW,330,720,Y,750,,,,0.9848,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,<p>&nbsp;Origin purchased from NSW government 1 July 2013</p>,Y,25/10/1998 00:00,,N,Coal-Black,Sea,,MS,Boiler,9.51,0.93,,Private,Origin Energy Eraring Pty Ltd,1/7/2013 00:00,SCHEDULED,,,180,,Coast,3,3,20,20,0
