DUID,STATIONID,REGIONID,PARTICIPANTID,DUIDNAME,STATIONNAME,PARTICIPANTNAME,CONNECTIONPOINTID,DISPATCHTYPE,STARTTYPE,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,MAXCAPACITY,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,TRANSMISSIONLOSSFACTOR,STARTDATE,ENDDATE,COMMENCEDDATE,FIRSTDISPATCHDATE,TYPE,DESCRIPTION,MMS_ACTIVE,MMS_STARTDATE,MMS_ENDDATE,INTERMITTENTFLAG,FUELTYPE,COOLINGTYPE,COOLINGTYPE_COMMENT,CLASSIFICATIONID,TECHNOLOGYTYPE,THERMAL_EFFICIENCY_FACTOR,EMISSION_INTENSITY_FACTOR,GAS_PIPELINE_ID,OWNERSHIP_TYPE,OWNERSHIP_DESC,OWNERSHIP_LASTCHANGED,SCHEDULE_TYPE,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,MINIMUMLOAD_LEVEL,RETIRED_MOTHBALLED,SUBREGION,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
APS,APS,VIC1,ALCOA,APS ANGLESEA POWER S,Angelsea,SECV,VAPS,GENERATOR,SLOW,220,165,Y,165,,,,0.9915,1/7/2015 00:00,1/9/2015 00:00,25/10/1998 00:00,13/12/1998 08:00,Base,,Y,25/10/1998 00:00,,N,Coal-Brown,Fresh,,MS,Boiler,11.91,1.09,,Private,Alcoa,25/9/2009 00:00,SCHEDULED,,,100,,Western,3,3,4,4,0
APPIN,APPIN,NSW1,EDLGRPOP,APPIN PP UNITS 1-54,Appin,EDL Group,NAPP1A,GENERATOR,NOT DISPATCHED,66,55,N,55,,,,0.995,1/7/2023 00:00,31/12/2999 00:00,7/1/2010 00:00,,,,Y,7/1/2010 00:00,,N,Waste Gas,,,NMNS,Recip,,0.79,,Private,EDL Group,,NON-SCHEDULED,,,,,,0,0,0,0,
ARWF1,ARWF,VIC1,ARARATWF,ARARAT WIND FARM,Ararat Wind Farm,Windlab,VART1A,GENERATOR,SLOW,220,241,N,241,,,,0.8899,1/7/2023 00:00,31/12/2999 00:00,23/6/2016 00:00,19/8/2016 11:30,Renewable,"<p>JS: The site is co-owned by Partners Group and OPTrust and has been generating renewable energy and reducing greenhouse emissions since 2017.</p>
<p>Windlab Asset Management are the owners representatives onsite and responsible for the operational management of the Wind Farm.</p>
<p>https://protect-au.mimecast.com/s/eQVACZY1VmSkZXz6cziEQ5?domain=ararat-windfarm.com</p>",Y,23/6/2016 00:00,,Y,Wind,Air,,Msemi,Wind,,0,,Private,Partners Group (50%) and OPTrust (50%),,SEMI-SCHEDULED,,,,,Western,3,3,50,50,0
AVLSF1,AVLSF,NSW1,BBPEM,Avonlie Solar Farm,Avonlie Solar Farm,Iberdrola Australia Energy Markets Pty Limited,NNRN1A,GENERATOR,SLOW,132,254,Y,190,,,,0.8881,1/7/2023 00:00,31/12/2999 00:00,28/3/2023 00:00,4/4/2023 17:00,Renewable,,Y,28/3/2023 00:00,,Y,Solar,,,,PV,,,,Private,,,SEMI-SCHEDULED,,,,,South Western,3,3,38,38,0
AWABAREF,AWABAREF,NSW1,INFRATIL,Awaba ,Awaba,Infratil,NNEW2,GENERATOR,NOT DISPATCHED,11,1,N,1,,,,0.9901,1/7/2018 00:00,1/4/2019 00:00,28/2/2007 00:00,,,,Y,28/2/2007 00:00,,N,Biomass,,,MNS,,,,,Private,Infratil,25/9/2009 00:00,NON-SCHEDULED,,,,,,0,0,,,
BHASZINC,BHASZINC,SA1,AGLE,BHASZINC BHAS ZINC P,BHAS ZINC PLANT SA,AGL South Australia Pty Ltd,SBUN,LOAD,NOT DISPATCHED,132,22,N,22,Y,,N,0.9792,1/7/2009 00:00,4/9/2009 00:00,29/11/1998 00:00,,,,Y,29/11/1998 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
BDL02,DEIBDL,VIC1,AETVPOWR,BDL02 BAIRNSDALE,Bairnsdale,Alinta Energy,VMWT3,GENERATOR,FAST,66,47,N,47,,,,0.9804,1/7/2023 00:00,31/12/2999 00:00,13/12/2001 00:00,20/12/2001 16:30,Peak,,Y,13/12/2001 00:00,,N,Gas,Air,,MS,OCGT,10.27,0.59,,Government,Alinta  Energy (all contracted to Aurora Energy),30/8/2012 00:00,SCHEDULED,,,2,,Latrobe Valley,1,1,4,4,0
BDL01,DEIBDL,VIC1,AETVPOWR,BDL01 BAIRNSDALE,Bairnsdale,Alinta Energy,VMWT2,GENERATOR,FAST,66,47,N,47,,,,0.9804,1/7/2023 00:00,31/12/2999 00:00,8/5/2001 00:00,15/5/2001 15:30,Peak,,Y,8/5/2001 00:00,,N,Gas,Air,,MS,OCGT,10.27,0.59,,Government,Alinta Energy (all contracted to Aurora Energy),30/8/2012 00:00,SCHEDULED,,,2,,Latrobe Valley,1,1,4,4,0
BAKING1,BAKING,QLD1,DIAMOND,BAKING BOARD SOLAR,Baking Board Solar Farm Chincilla,Diamond Energy,QCHS1C,GENERATOR,NOT DISPATCHED,33,17,N,14,,,,0.9598,1/7/2023 00:00,31/12/2999 00:00,11/9/2018 00:00,,Renewable,,Y,11/9/2018 00:00,,Y,Solar,Nil,,MNS,PV,,,,Private,Impact Investment Group & Diamond,,NON-SCHEDULED,,,,,,0,0,1000,1000,
BALDHWF1,BHWF,VIC1,ALNTBHWF,BALDHWF1,Bald Hills WF,Alinta Energy,VMWT9B,GENERATOR,SLOW,66,106,N,106,,,,0.9825,1/7/2023 00:00,31/12/2999 00:00,29/1/2015 00:00,24/2/2015 08:00,Renewable,,Y,29/1/2015 00:00,,Y,Wind,Air,,Msemi,Wind,,0,,Private,,,SEMI-SCHEDULED,,,,,Latrobe Valley,3,3,600,600,0
